GEOID,district
17031030101,3
17031030701,3
17031070103,14
17031807900,26
17031808001,16
17031808002,42
17031841200,17
17031831900,0
17031832600,14
17031836900,19
17031842300,23
17031839500,12
17031835800,15
17031838800,28
17031843400,30
17031842600,25
17031841900,17
17031843200,17
17031301803,20
17031320101,41
17031330103,27
17031380600,15
17031330102,27
17031330101,27
17031460800,35
17031630600,34
17031490200,5
17031612200,25
17031844700,30
17031844600,15
17031320102,41
17031730202,29
17031220701,43
17031063302,37
17031252201,44
17031660302,9
17031660301,9
17031835600,15
17031840000,27
17031813302,44
17031836400,12
17031836100,15
17031834600,15
17031843600,15
17031061902,37
17031030102,3
17031030103,3
17031030706,3
17031030601,3
17031081202,41
17031063303,37
17031836000,15
17031220901,43
17031210602,22
17031220602,43
17031220601,43
17031040401,13
17031252202,44
17031252102,44
17031836300,12
17031834500,15
17031836200,12
17031010501,16
17031020701,42
17031833900,35
17031834400,15
17031834300,32
17031070101,37
17031110501,26
17031030104,16
17031081401,41
17031430102,2
17031770902,1
17031430101,2
17031252101,44
17031010201,16
17031760801,1
17031839000,41
17031440201,32
17031540101,28
17031834000,5
17031711100,29
17031711200,29
17031711500,29
17031270500,19
17031680900,31
17031221000,43
17031221100,43
17031242800,19
17031242900,19
17031243000,19
17031243100,33
17031243200,33
17031243300,33
17031243400,33
17031071400,14
17031110400,26
17031150600,24
17031150700,24
17031150800,6
17031151100,24
17031151200,24
17031241500,19
17031241100,19
17031241600,33
17031241300,19
17031241400,19
17031243500,23
17031250200,7
17031250300,39
17031250400,39
17031250500,18
17031071500,14
17031071800,14
17031080100,14
17031080300,14
17031080400,14
17031160100,10
17031160200,10
17031160300,10
17031160400,10
17031160700,22
17031221300,23
17031221500,23
17031221400,23
17031250600,44
17031250700,44
17031250800,7
17031251000,7
17031251100,7
17031051400,0
17031060100,3
17031060300,38
17031060800,37
17031160800,38
17031160900,38
17031161000,10
17031161100,10
17031161200,10
17031161300,10
17031170100,6
17031221600,23
17031242100,33
17031242000,33
17031251200,44
17031251300,44
17031051300,0
17031600700,17
17031600900,27
17031821200,11
17031672000,31
17031710900,31
17031711000,29
17031711300,29
17031711400,29
17031271200,19
17031271300,19
17031271400,19
17031350100,27
17031350400,27
17031351000,12
17031351400,27
17031360200,12
17031430400,2
17031430600,2
17031430800,2
17031430500,2
17031430900,2
17031610300,25
17031681000,31
17031681100,31
17031680500,25
17031810000,16
17031720100,8
17031720200,29
17031720300,29
17031720400,29
17031720500,29
17031720600,29
17031720700,29
17031040600,13
17031040700,38
17031040800,38
17031825801,28
17031380100,15
17031380200,15
17031431200,35
17031431400,35
17031810200,16
17031810301,16
17031050100,38
17031610800,15
17031611300,25
17031611400,25
17031611500,25
17031611900,25
17031681200,31
17031810400,1
17031810701,18
17031810702,18
17031810600,1
17031381200,15
17031381400,15
17031283100,33
17031283800,17
17031691200,31
17031691100,31
17031730100,29
17031730300,29
17031730400,29
17031730500,29
17031730600,29
17031440300,32
17031810800,18
17031810900,18
17031612000,25
17031612100,25
17031620100,34
17031620200,21
17031620300,9
17031620400,9
17031810501,1
17031810502,6
17031812200,18
17031730700,29
17031740100,11
17031740200,11
17031740300,11
17031740400,11
17031381800,15
17031381900,15
17031390100,12
17031390200,12
17031390300,12
17031390400,12
17031390500,12
17031390600,12
17031390700,12
17031812500,39
17031440600,32
17031440900,32
17031440700,32
17031440800,32
17031630300,34
17031630500,34
17031630800,9
17031630900,9
17031640100,40
17031640300,21
17031750100,29
17031750200,29
17031750300,11
17031750400,11
17031750500,11
17031282700,17
17031282800,17
17031400300,15
17031400500,15
17031400800,15
17031410100,12
17031410500,12
17031410600,12
17031460100,35
17031450300,5
17031460200,35
17031640400,21
17031640500,40
17031640600,21
17031640700,40
17031640800,40
17031650100,9
17031650200,9
17031750600,28
17031812600,39
17031820300,21
17031820400,21
17031820902,40
17031410700,12
17031410800,12
17031410900,12
17031411000,12
17031411100,15
