GEOID,district
17031030101,27
17031030701,2
17031070103,30
17031807900,9
17031808001,9
17031808002,9
17031841200,29
17031831900,40
17031832600,30
17031836900,6
17031842300,38
17031839500,20
17031835800,16
17031838800,34
17031843400,18
17031842600,16
17031841900,20
17031843200,29
17031301803,18
17031320101,3
17031330103,20
17031380600,16
17031330102,20
17031330101,20
17031460800,12
17031630600,37
17031490200,14
17031612200,7
17031844700,21
17031844600,16
17031320102,3
17031730202,14
17031220701,35
17031063302,30
17031252201,32
17031660302,37
17031660301,43
17031835600,7
17031840000,29
17031813302,6
17031836400,16
17031836100,15
17031834600,7
17031843600,16
17031061902,40
17031030102,27
17031030103,36
17031030706,2
17031030601,27
17031081202,3
17031063303,30
17031836000,16
17031220901,5
17031210602,22
17031220602,22
17031220601,22
17031040401,27
17031252202,32
17031252102,32
17031836300,15
17031834500,15
17031836200,15
17031010501,36
17031020701,27
17031833900,34
17031834400,1
17031834300,1
17031070101,30
17031110501,9
17031030104,36
17031081401,3
17031430102,12
17031770902,10
17031430101,12
17031252101,32
17031010201,39
17031760801,26
17031839000,20
17031440201,1
17031540101,11
17031834000,14
17031711100,14
17031711200,14
17031711500,14
17031270500,6
17031680900,15
17031221000,22
17031221100,22
17031242800,33
17031242900,33
17031243000,25
17031243100,25
17031243200,25
17031243300,38
17031243400,38
17031071400,24
17031110400,44
17031150600,44
17031150700,44
17031150800,23
17031151100,35
17031151200,35
17031241500,38
17031241100,33
17031241600,38
17031241300,25
17031241400,25
17031243500,38
17031250200,35
17031250300,28
17031250400,28
17031250500,10
17031071500,24
17031071800,24
17031080100,24
17031080300,24
17031080400,24
17031160100,23
17031160200,22
17031160300,0
17031160400,0
17031160700,22
17031221300,19
17031221500,19
17031221400,19
17031250600,28
17031250700,28
17031250800,28
17031251000,28
17031251100,28
17031051400,19
17031060100,2
17031060300,40
17031060800,2
17031160800,22
17031160900,22
17031161000,22
17031161100,22
17031161200,22
17031161300,22
17031170100,26
17031221600,19
17031242100,25
17031242000,38
17031251200,28
17031251300,28
17031051300,40
17031600700,29
17031600900,29
17031821200,11
17031672000,43
17031710900,14
17031711000,14
17031711300,14
17031711400,14
17031271200,6
17031271300,6
17031271400,6
17031350100,20
17031350400,29
17031351000,20
17031351400,16
17031360200,20
17031430400,12
17031430600,12
17031430800,12
17031430500,12
17031430900,12
17031610300,4
17031681000,7
17031681100,7
17031680500,7
17031810000,36
17031720100,17
17031720200,17
17031720300,17
17031720400,42
17031720500,42
17031720600,42
17031720700,17
17031040600,0
17031040700,0
17031040800,0
17031825801,11
17031380100,16
17031380200,16
17031431200,12
17031431400,34
17031810200,39
17031810301,39
17031050100,19
17031610800,7
17031611300,4
17031611400,4
17031611500,4
17031611900,7
17031681200,15
17031810400,26
17031810701,10
17031810702,10
17031810600,26
17031381200,16
17031381400,15
17031283100,29
17031283800,20
17031691200,14
17031691100,14
17031730100,14
17031730300,14
17031730400,17
17031730500,14
17031730600,17
17031440300,1
17031810800,10
17031810900,10
17031612000,7
17031612100,7
17031620100,4
17031620200,4
17031620300,8
17031620400,4
17031810501,26
17031810502,26
17031812200,28
17031730700,17
17031740100,42
17031740200,17
17031740300,42
17031740400,42
17031381800,15
17031381900,15
17031390100,16
17031390200,16
17031390300,16
17031390400,16
17031390500,16
17031390600,16
17031390700,16
17031812500,28
17031440600,1
17031440900,1
17031440700,1
17031440800,1
17031630300,4
17031630500,37
17031630800,37
17031630900,4
17031640100,8
17031640300,8
17031750100,17
17031750200,17
17031750300,17
17031750400,11
17031750500,11
17031282700,29
17031282800,29
17031400300,15
17031400500,15
17031400800,15
17031410100,12
17031410500,15
17031410600,15
17031460100,34
17031450300,12
17031460200,12
17031640400,8
17031640500,8
17031640600,8
17031640700,8
17031640800,8
17031650100,13
17031650200,8
17031750600,11
17031812600,28
17031820300,8
17031820400,8
17031820902,13
17031410700,15
17031410800,12
17031410900,12
17031411000,12
17031411100,12
17031411200,12
17031460400,12
17031460500,12
17031461000,34
17031813000,32
17031813100,32
17031821102,13
17031561000,8
17031100200,9
17031020200,39
17031420100,12
17031420200,12
17031420400,15
17031420700,15
17031805402,9
17031420800,15
17031470100,1
17031480100,1
17031480200,1
17031480300,34
17031480400,34
17031805502,9
17031805600,26
17031650400,13
17031650500,13
17031660400,43
17031821401,11
17031805702,26
17031821402,11
17031821600,17
17031821700,17
17031290900,21
17031291200,21
17031421200,1
17031271500,6
17031292200,21
17031292400,18
17031292500,18
17031271800,6
17031280100,24
17031280400,25
17031300600,18
17031300700,21
17031301100,21
17031301200,21
17031480500,34
17031490500,14
17031520200,34
17031520300,34
17031520400,34
17031520500,34
17031520600,34
17031660500,43
17031660600,43
17031660700,37
17031660800,43
17031660900,43
17031661000,43
17031280900,25
17031301600,18
17031490600,14
17031490700,11
17031490800,11
17031491000,11
17031491100,14
17031530200,11
17031530300,11
17031530400,11
17031530600,11
17031560100,41
17031670200,7
17031670300,7
17031670400,7
17031661100,43
17031670100,7
17031670600,7
17031670800,7
17031670900,7
17031260900,6
17031261000,6
17031281900,38
17031310200,20
17031310300,20
17031310400,20
17031310500,20
17031491200,11
17031491300,11
17031491400,11
17031500100,34
17031500200,34
17031500300,34
17031560200,41
17031560300,41
17031560700,41
17031560800,8
17031560900,8
17031010300,36
17031010400,36
17031010600,36
17031020100,39
17031280800,25
17031420300,1
17031130200,23
17031240200,38
17031611800,7
17031030300,31
17031030400,27
17031020400,31
17031080202,24
17031060200,2
17031221200,22
17031826500,11
17031061200,2
17031030200,36
17031030900,27
17031031000,2
17031600600,29
17031811900,28
17031420600,15
17031110100,9
17031031400,2
17031040900,0
17031050200,19
17031050300,19
17031811600,10
17031031700,0
17031610400,4
17031050600,19
17031071700,24
17031031800,0
17031050500,19
17031071600,24
17031671400,37
17031062300,40
17031630400,37
17031010100,39
17031822802,42
17031680600,7
17031807800,9
17031811100,10
17031030500,27
17031171100,44
17031180100,10
17031251900,32
17031020500,31
17031081300,3
17031081000,3
17031130100,9
17031170200,44
17031170300,44
17031170400,26
17031170500,10
17031170600,10
17031170700,10
17031170800,10
17031251400,28
17031260300,6
17031260500,6
17031260600,6
17031260700,6
17031260800,6
17031050700,19
17031050900,19
17031051000,19
17031051100,19
17031051200,19
17031170900,10
17031171000,44
17031190100,35
17031222200,38
17031222500,19
17031222600,19
17031251500,28
17031251600,32
17031251700,32
